Ice ArenA,39.6646,-75.7504
Prudential Center,42.34809,-71.08294
Nassau Veterans Memorial Coliseum,40.72306,-73.59083
Madison Square Garden,40.75052,-73.99349
Wells Fargo Center,39.74361,-104.98556
Centre Bell,40.76673,-78.09973
Scotiabank Place,45.29694,-75.92722
Air Canada Centre,45.28978,-73.24996
Philips Arena,33.7575,-84.39667
Verizon Center,38.89761,-77.02081
United Center,41.88062,-87.6745
Nationwide Arena,39.96917,-83.00861
Joe Louis Arena,42.32516,-83.05143
Pepsi Center,39.74866,-105.00745
Xcel Energy Center,44.9456,-93.0999
Honda Center,37.74774,-122.45691
American Airlines Center,32.79046,-96.81035
Jobing.com Arena,33.53188,-112.26113
Staples Center,34.0433,-118.265
Helsingin jäähalli,60.18928,24.92231
Tampereen jäähalli,61.49588,23.8243
Globen,59.29346,18.08324
Malmö Arena,55.56459,12.97629
Scandinavium,57.69919,11.98763
Löfbergs Lila Arena,59.40768,13.5007
Cloetta Center,58.41711,15.63586
Hovet,60.62208,8.15296
Tegera Arena,60.7351,14.98653
Fjällräven Center,63.28391,18.72491
Kinnarps Arena,57.78726,14.23223
Frölundaborg,57.67762,11.93574
Skellefteå Kraft Arena,64.76146,20.96732
COOP Arena,65.59772,22.14831
E.ON Arena,62.50634,17.34913
Umeå Arena,63.81534,20.24205
Isstadion,59.29491,18.08172
Kempehallen,63.27781,18.68234
Sannarpshallen,56.67444,12.88698
Telenor Arena,59.90319,10.62382
Z-hallen,63.17845,14.08988
Valhall,56.21667,3.4
Ishuset,77.11931,15.66112
Oasen,24.16667,23.25
MB-hallen,52.71815,-95.91584
Björnhallen,58.31667,15.63333
E.ON-hallen,44.8334,-79.89966
GB-hallen,51.51694,-2.64905
Läkerol Arena,60.69128,17.13248
Islandia,65,-18
Arena Riga,56.96796,24.12134
Spectrum Arena,39.90372,-75.17129
Alexandra Palace,51.59391,-0.13033
Altair,-20.53889,-49.10219
SAP Arena,12.41667,-81.46667
De Uithof,52.08526,5.17456
SilverDome,42.6456,-83.2546
Volksgarten,51.20996,6.79209
Arena Maurice Richard,45.51678,-73.64918
Halmstad Arena,56.6747,12.88962
O2 Arena,50.10476,14.4935
Malley,63.5836,-108.03427
Mélèzes,47.04978,-74.44654
Les Vernets,44.6076,3.39682
Littoral,4.04827,9.70428
Resega,44.91667,10.9
Hallenstadion,48.21059,16.42424
Ilfis,46.95,7.7519
Kleinholz,49.78333,10.08333
Herti,17.31667,-12.63333
Dolder,52.13917,5.23889
Deutweg,47.49419,8.73948
Graben,47.46667,11.38333
Im Chreis,47.38938,8.62783
Forum,41.89241,12.48568
Schoren,51.41667,9.16667
Cumberland County Civic Center,43.65508,-70.25949
Glens Falls Civic Center,43.30806,-73.64167
Times Union Center,42.64833,-73.75472
Giant Center,33.62094,-84.35437
Norfolk Scope,36.85333,-76.28694
Kotlina,54.98778,33.07472
Van Andel Arena,42.96222,-85.67167
MTS Centre,5.06667,11.31667
Allstate Arena,42.00528,-87.88778
Toyota Center,29.75106,-95.36244
Bradley Center,43.04362,-87.91675
Carver Arena,41.66391,-91.55489
Cedar Park Center,38.7962,-81.67568
Cox Convention Center,35.46328,-97.51494
Orleans Arena,30.02992,-90.01729
Stockton Arena,37.95583,-121.29583
Maverik Center,28.71414,-100.50008
First Arena,39.6646,-75.7504
Wings Stadium,42.25361,-85.53528
Sovereign Center,40.33498,-75.92315
U.S. Bank Arena,42.09528,-79.24528
Huntington Center,40.7856,-85.39247
North Charleston Coliseum,32.8707,-80.0128
Carolina Coliseum,33.99377,-81.03315
US Airways Center,35.10731,-89.9862
Mississippi Coast Coliseum,30.39159,-88.97614
Cajundome,30.21715,-92.03984
Blackham Coliseum,30.21048,-92.03318
San Diego Sports Arena,32.75144,-117.21004
Long Beach Arena,33.76391,-118.1884
The Forum,52.80001,-118.31909
Ervin J. Nutter Center,39.78256,-84.05188
Hara Arena,39.82172,-84.25661
Greensboro Coliseum,36.045,-79.8362
Roanoke Civic Center,37.28541,-80.03948
Mississippi Coliseum,30.39159,-88.97614
Verizon Arena,34.75511,-92.26444
Baton Rouge River Center,30.44464,-91.18872
Municipal Auditorium,36.16726,-86.78204
Mobile Civic Center,30.68602,-88.04478
Ohio Expo Center Coliseum,39.99833,-82.99222
Freedom Hall,38.2006,-85.7407
Nashville Municipal Auditorium,36.16726,-86.78204
Von Braun Center,34.72759,-86.59055
Allen County War Memorial Coliseum,41.11556,-85.12444
McMorran Place,51.3168,-108.75144
Ector County Coliseum,31.88401,-102.38737
BOK Center,10.61667,104.05
Rushmore Plaza Civic Center,44.08804,-103.22546
DeSoto Civic Center,27.2231,-81.83897
Manchester Arena,38.93555,-123.68268
1stBank Center,39.90453,-105.08533
O2 Arena,50.10476,14.4935
ISS Dome,45.55,3.25
Lanxess Arena,50.9385,6.98257
Scania Arena,55.56459,12.97629
Pacific Coliseum,49.2815,-123.04351
Hart Recreation Center,38.8375,-76.9974
Dwyer Arena,43.135,-79.03444
Island Sports Center,40.615,-74.09583
Magness Arena,39.68222,-104.96167
Duluth Entertainment Convention Center,46.78056,-92.09806
Ralph Engelstad Arena,48.12083,-96.19139
National Hockey Center,45.54694,-94.15194
Yost Ice Arena,42.2675,-83.74111
Carlson Center,45.0736,-93.3145
Munn Ice Arena,42.72833,-84.48917
Berry Events Center,46.55722,-87.39167
Von Braun Center,34.72759,-86.59055
Matthews Arena,42.34149,-71.08505
ICE Arena,39.6646,-75.7504
Agorà,39.38389,20.5675
Williams Arena,33.7938,-79.0132
Palais des sports,43.3292,-0.3527
L'Iceberg,-48.71423,68.92566
